GID_3,scale_min,scale_max,scale_mean,scale_median,scale_stdDev,offset_min,offset_max,offset_mean,offset_median,offset_stdDev
BEN.2.7.1_1,-0.19471208080774108,0.1429974449045923,0.0344118412351362,0.03421847626758952,0.015370771881987952,-0.11151663004420698,1.0664998140467408,0.08064865782221643,0.06648669097735878,0.062182897299484334
BEN.2.7.2_1,-0.10290935161867223,0.23713427802569986,0.03641977482040866,0.03611967223481655,0.01279080932823301,-0.08531791508505107,2.1070740091658773,0.07759976621460993,0.054665260243620936,0.09338979043554949
BEN.2.7.3_1,-0.3278848684609069,0.14471430582315883,0.03804939594978229,0.03810590217003429,0.017768399547583247,-0.14470056814995283,1.6293410704598674,0.06740669296517894,0.05072576311960237,0.07211222104560068
BEN.2.8.1_1,-0.4872239414585887,0.28706988701430547,0.03188469292538299,0.03706845205233337,0.04721266000847119,-0.21277299924986437,4.038490350704662,0.16022291979123665,0.07662585258470724,0.24717054223443555
BEN.2.8.2_1,-0.46025773484559196,0.14492376816148558,0.029036359860547856,0.03337552770004928,0.03725173843303966,-0.029178191020729997,2.2176857921211712,0.12002686843772324,0.08454972523875481,0.17193050647285216
BEN.2.8.3_1,-0.5629286312780876,0.32688074742327444,0.02769254351748476,0.0336174856829045,0.060019081885874306,-0.3397808772777872,3.0736440219888683,0.16656923419661884,0.10089544775412411,0.2522262714908374
BEN.2.8.4_1,-0.601092285824485,0.44487012705455226,0.03331249823181151,0.035563109717471675,0.06557588975691975,-0.45886185816267416,4.038490350704662,0.172184351700987,0.07591532546062973,0.35026731490261787
BEN.2.8.5_1,-8.779166645055826,27.078444332275208,0.08348037777891187,0.05517797157661939,0.5577644730752676,-44.92594707555171,38.25458764516155,0.09875194117993967,0.11110351916701698,1.0971794748189798
BEN.2.9.1_1,-0.3128070619911471,0.34690537671503124,0.03602982043442303,0.03705125297534865,0.03086118397330715,-0.39152477001161534,1.8122244265344176,0.09750714364625185,0.06997162417608081,0.12415603152162524
BEN.2.9.2_1,-0.6131999318659793,0.21717666264296331,0.028418546889498974,0.03728525530706742,0.05979133014841752,-0.19629664379975847,3.367748388779416,0.1472470858496486,0.08625427619778471,0.29286055078427337
BEN.2.9.3_1,-0.0679793438660757,0.3753349547928554,0.04132304871133978,0.03814196892726441,0.023685101769211476,-0.3833554396211791,0.7947207321191118,0.07233689964404294,0.05851701442005802,0.07113478404980889
BEN.3.1.1_1,0.04289624371429974,1.2856175161543346,0.2322478657272463,0.13590767347178087,0.22725343449180643,0.02511643433189463,7.645200184413365,0.6499933580456778,0.33135617109719345,1.014027406425567
BEN.3.1.2_1,0.11382018739268893,2.473730333859012,0.6435532431602238,0.7281659586088998,0.34793121813600725,0.1471551921041239,7.645200184413365,2.8991622760194917,2.9208056144416332,1.7390124475292708
