GID_3,young,elderly,working,dependency_ratio
BEN.12.1.1_1,2838.863115810202,277.3283484585784,3725.9336790229336,0.8363518335854953
BEN.12.1.2_1,3597.4755712133588,369.9477509102919,4870.413406078511,0.8145968301524703
BEN.12.1.3_1,10341.477036734523,1102.056222361659,14616.449472902557,0.7829215487872997
BEN.12.1.4_1,3341.3932250205203,371.0429129164263,4744.244710582895,0.782513627439092
BEN.12.1.5_1,2099.657755633363,209.9496771478587,2794.612146710805,0.8264500802014968
BEN.12.1.6_1,4006.886885659909,444.94223916216896,5689.139424117359,0.7825136269204294
BEN.12.1.7_1,4570.540366781007,507.5327858321624,6489.4373414395195,0.7825136272117431
BEN.12.2.1_1,2866.1140071503814,307.4817570890647,3574.815634282751,0.8877648776637385
BEN.12.2.2_1,3653.3721280934055,377.77925796191397,4915.9212455867855,0.820019521198441
BEN.12.2.3_1,1886.0319181573595,202.17860664499597,2345.1328169038625,0.8904444600111365
BEN.12.2.4_1,4659.53652919951,493.37647879247396,5780.28002358976,0.8914642520712761
BEN.12.2.5_1,2792.4921347146364,305.0488361888948,3733.6566888779334,0.8296266178223332
BEN.12.2.6_1,5644.564206467495,595.9331434963225,6987.911753258511,0.8930418085279669
BEN.12.2.7_1,1616.0592854018814,171.7011711620945,2004.2939729569732,0.8919651910774639
BEN.12.2.8_1,3835.670314362836,409.64912257915745,4765.988534670029,0.8907531787077444
BEN.12.2.9_1,8497.530788688313,887.4172493443824,10689.997776691052,0.877918614585314
BEN.12.2.10_1,887.6157448617852,91.50982542197747,1091.0993178647377,0.8973752932041917
BEN.12.3.1_1,11268.272306315364,726.0022872227006,15235.559843279685,0.7872552578912069
BEN.12.3.2_1,7314.32661895793,478.396538906738,9664.687465597995,0.8063088626097128
BEN.12.3.3_1,2621.957216223314,168.88817631792202,3546.395357281847,0.7869526974229669
BEN.12.3.4_1,2217.3623180481736,142.82699831296853,2999.1501676902476,0.7869526980634011
BEN.12.3.5_1,8556.640778390409,577.4871559858068,11611.481239511864,0.7866462293625689
BEN.12.3.6_1,15838.777861247121,1136.5555113307423,17761.19274456441,0.9557541329972308
BEN.12.3.7_1,5729.753557870886,389.28550218665316,7733.109067559641,0.7912779978400772
BEN.12.3.8_1,9349.200216089801,658.076593818837,12726.086119110518,0.786359350097506
BEN.12.3.9_1,5916.763947047761,381.1166212558454,8002.870551736113,0.7869526974839506
BEN.12.3.10_1,14728.542244851884,948.7123961222759,19921.386808513336,0.7869559881380617
BEN.12.4.1_1,622.9710601457484,66.20781046749991,854.5637612883221,0.8064686356162084
BEN.12.4.2_1,699.7783921840361,74.37070211565089,959.924614528983,0.8064686357475555
BEN.12.4.3_1,8992.046695082325,924.903971284289,12144.12184903487,0.816605003609606
BEN.12.4.4_1,717.3418615018912,76.2373036902471,984.0173919515867,0.8064686373258555
BEN.12.4.5_1,5381.79898687705,562.3339237426562,7297.195807890936,0.8145776908154124
BEN.12.4.6_1,812.7991954716687,80.34828120745243,1077.4904450359265,0.8289145215105282
BEN.12.4.7_1,765.5942866350945,81.36545110808359,1050.207905859084,0.8064686363700089
BEN.12.4.8_1,2081.4191407612225,221.20803456336137,2855.1974271708586,0.8064686362533597
BEN.12.5.1_1,928.0705435623032,63.552695050990835,1000.1069498445144,0.9915171960033481
BEN.12.5.2_1,6187.902216850294,423.3534269934667,6668.702048509514,0.9913856693179759
BEN.12.5.3_1,3683.026435196323,252.54001167182696,3966.7718867554204,0.9921332910542545
BEN.12.5.4_1,16679.94900988746,1148.8022205364823,18094.977066603293,0.9852873073450474
BEN.12.5.5_1,1296.5526469524764,88.78572387194541,1397.1904646749506,0.9915171952928508
BEN.12.5.6_1,752.9528467941462,51.560932527999526,811.3966987280994,0.9915171956987957
BEN.12.5.7_1,8858.063678323993,607.4689680988264,9562.684114977841,0.9898405649097146
BEN.12.5.8_1,1702.790039763147,116.29752444647183,1855.6998852585448,0.9802703436370451
BEN.12.5.9_1,2048.7292481583418,140.2935004360855,2207.750665562865,0.9915171956414458
BEN.12.5.10_1,1101.933214419293,75.4958716330244,1188.3676922267928,0.9907952679578672
BEN.12.5.11_1,17844.216353861062,1254.0823144711487,19497.965699640146,0.9795021164020558
BEN.12.5.12_1,1400.7886599201888,95.92362910288513,1509.5172285701317,0.9915171954948887
BEN.12.6.1_1,5290.3246170175435,392.47906243264146,6455.8296932093035,0.8802592307271919
BEN.12.6.2_1,10096.029518871232,745.060607663039,12299.088001449856,0.8814547977261638
BEN.12.6.3_1,5345.461927681446,404.46329400401805,6551.765490103381,0.8776146262211126
